loading words...
finished loading 2315 legal targets and 10657 additional legal guesses.
loading words...
finished loading 17723 legal targets and 0 additional legal guesses.
guess 1, score 1, remaining target count 1, ..., guess n (target)
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟨🟩⬜🟩🟩,1,21*1/7=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟨🟩🟨🟩🟨,2,21*3/7=9,🟩🟨🟩🟨🟩🟨🟩🟩,1,27*1/3=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟨🟩🟨🟩🟨,2,21*3/7=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟨🟩🟩🟩🟨,1,21*3/9=7
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟨🟩🟩🟩🟩,1,27*1/9=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟩⬜⬜🟨🟨,1,33*7=231
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟩🟨⬜🟩🟩,1,21/7*1=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟨🟩🟨🟨🟩🟨,1,21/7*3=9
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟩🟨🟨⬜🟩🟨,2,3/21*7=1,🟨🟩🟩🟩🟩🟨🟩🟩,1,7/21*3=1
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟩🟨🟨⬜🟩🟨,2,3/21*7=1
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟩🟨🟨🟨🟩🟩,1,9/21*7=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟩🟨🟨🟩🟩🟩,1,7/21*9=3
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟩🟩🟨🟨🟩🟨,1,9/27*3=1
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟨🟩🟩🟨🟩🟩🟨,1,3/27*9=1
58-46=12,⬜⬜⬜⬜⬜🟨🟨🟨,85,1*27/9=3,🟨🟩🟨🟨⬜⬜🟨🟨,1,7*33=231
