loading words... finished loading 5839 legal words.
considered guess AMOLE (144/5839), target ABETS (1/5839), score 0 -> 551
considered guess AMONG (145/5839), target ABETS (1/5839), score 0 -> 390
considered guess AMORT (146/5839), target ABETS (1/5839), score 0 -> 510
considered guess AMOUR (147/5839), target ABETS (1/5839), score 0 -> 323
considered guess AMPED (148/5839), target ABETS (1/5839), score 0 -> 551
considered guess AMPLE (149/5839), target ABETS (1/5839), score 0 -> 502
considered guess AMPLY (150/5839), target ABETS (1/5839), score 0 -> 474
considered guess AMPUL (151/5839), target ABETS (1/5839), score 0 -> 307
considered guess AMUCK (152/5839), target ABETS (1/5839), score 0 -> 416
considered guess AMUSE (153/5839), target ABETS (1/5839), score 0 -> 235
considered guess AMYLS (154/5839), target ABETS (1/5839), score 0 -> 119
considered guess ANCHO (155/5839), target ABETS (1/5839), score 0 -> 287
considered guess ANDRO (156/5839), target ABETS (1/5839), score 0 -> 215
considered guess ANGEL (157/5839), target ABETS (1/5839), score 0 -> 699
considered guess ANGER (158/5839), target ABETS (1/5839), score 0 -> 598
considered guess ANGLE (159/5839), target ABETS (1/5839), score 0 -> 522
considered guess ANGLO (160/5839), target ABETS (1/5839), score 0 -> 266
considered guess ANGRY (161/5839), target ABETS (1/5839), score 0 -> 464
considered guess ANGST (162/5839), target ABETS (1/5839), score 0 -> 155
considered guess ANILE (163/5839), target ABETS (1/5839), score 0 -> 648
considered guess ANILS (164/5839), target ABETS (1/5839), score 0 -> 166
considered guess ANIME (165/5839), target ABETS (1/5839), score 0 -> 676
considered guess ANISE (166/5839), target ABETS (1/5839), score 0 -> 338
considered guess ANKHS (167/5839), target ABETS (1/5839), score 0 -> 118
considered guess ANKLE (168/5839), target ABETS (1/5839), score 0 -> 572
considered guess ANKUS (169/5839), target ABETS (1/5839), score 0 -> 130
considered guess ANODE (170/5839), target ABETS (1/5839), score 0 -> 615
considered guess ANOLE (171/5839), target ABETS (1/5839), score 0 -> 644
considered guess ANOMY (172/5839), target ABETS (1/5839), score 0 -> 526
considered guess ANTED (173/5839), target ABETS (1/5839), score 0 -> 219
considered guess ANTES (174/5839), target ABETS (1/5839), score 0 -> 52
considered guess ANTIC (175/5839), target ABETS (1/5839), score 0 -> 441
considered guess ANTIS (176/5839), target ABETS (1/5839), score 0 -> 123
considered guess ANTRE (177/5839), target ABETS (1/5839), score 0 -> 303
considered guess ANTSY (178/5839), target ABETS (1/5839), score 0 -> 222
considered guess ANVIL (179/5839), target ABETS (1/5839), score 0 -> 304
considered guess APERS (180/5839), target ABETS (1/5839), score 0 -> 27
considered guess APERY (181/5839), target ABETS (1/5839), score 0 -> 76
considered guess APHID (182/5839), target ABETS (1/5839), score 0 -> 424
considered guess APHIS (183/5839), target ABETS (1/5839), score 0 -> 117
considered guess APING (184/5839), target ABETS (1/5839), score 0 -> 413
considered guess APISH (185/5839), target ABETS (1/5839), score 0 -> 461
considered guess APODS (186/5839), target ABETS (1/5839), score 0 -> 185
considered guess APORT (187/5839), target ABETS (1/5839), score 0 -> 502
considered guess APRES (188/5839), target ABETS (1/5839), score 0 -> 317
considered guess APRON (189/5839), target ABETS (1/5839), score 0 -> 341
considered guess APTER (190/5839), target ABETS (1/5839), score 0 -> 231
considered guess APTLY (191/5839), target ABETS (1/5839), score 0 -> 526
considered guess ARCED (192/5839), target ABETS (1/5839), score 0 -> 766
considered guess ARCUS (193/5839), target ABETS (1/5839), score 0 -> 192
considered guess ARDEB (194/5839), target ABETS (1/5839), score 0 -> 418
considered guess AREIC (195/5839), target ABETS (1/5839), score 0 -> 99
considered guess ARGIL (196/5839), target ABETS (1/5839), score 0 -> 352
considered guess ARGLE (197/5839), target ABETS (1/5839), score 0 -> 605
considered guess ARGOL (198/5839), target ABETS (1/5839), score 0 -> 315
considered guess ARGON (199/5839), target ABETS (1/5839), score 0 -> 293
considered guess ARGOT (200/5839), target ABETS (1/5839), score 0 -> 577
considered guess ARGUE (201/5839), target ABETS (1/5839), score 0 -> 583
considered guess ARGUS (202/5839), target ABETS (1/5839), score 0 -> 162
considered guess ARIEL (203/5839), target ABETS (1/5839), score 0 -> 977
considered guess ARILS (204/5839), target ABETS (1/5839), score 0 -> 241
considered guess ARISE (205/5839), target ABETS (1/5839), score 0 -> 364
considered guess ARLES (206/5839), target ABETS (1/5839), score 0 -> 314
considered guess ARMED (207/5839), target ABETS (1/5839), score 0 -> 762
considered guess ARMET (208/5839), target ABETS (1/5839), score 0 -> 401
considered guess AROID (209/5839), target ABETS (1/5839), score 0 -> 366
considered guess AROSE (210/5839), target ABETS (1/5839), score 0 -> 316
considered guess ARPEN (211/5839), target ABETS (1/5839), score 0 -> 854
considered guess ARSON (212/5839), target ABETS (1/5839), score 0 -> 560
considered guess ARTEL (213/5839), target ABETS (1/5839), score 0 -> 452
considered guess ARTSY (214/5839), target ABETS (1/5839), score 0 -> 326
considered guess ARUMS (215/5839), target ABETS (1/5839), score 0 -> 204
considered guess ARVOS (216/5839), target ABETS (1/5839), score 0 -> 153
considered guess ARYLS (217/5839), target ABETS (1/5839), score 0 -> 165
considered guess ASCOT (218/5839), target ABETS (1/5839), score 0 -> 235
considered guess ASDIC (219/5839), target ABETS (1/5839), score 0 -> 336
considered guess ASHED (220/5839), target ABETS (1/5839), score 0 -> 266
considered guess ASHEN (221/5839), target ABETS (1/5839), score 0 -> 335
considered guess ASIDE (222/5839), target ABETS (1/5839), score 0 -> 368
considered guess ASKED (223/5839), target ABETS (1/5839), score 0 -> 229
considered guess ASKER (224/5839), target ABETS (1/5839), score 0 -> 282
considered guess ASKEW (225/5839), target ABETS (1/5839), score 0 -> 211
considered guess ASKOI (226/5839), target ABETS (1/5839), score 0 -> 365
considered guess ASPEN (227/5839), target ABETS (1/5839), score 0 -> 340
considered guess ASPER (228/5839), target ABETS (1/5839), score 0 -> 326
considered guess ASPIC (229/5839), target ABETS (1/5839), score 0 -> 329
considered guess ASTER (230/5839), target ABETS (1/5839), score 0 -> 70
considered guess ASTIR (231/5839), target ABETS (1/5839), score 0 -> 277
considered guess ATOMS (232/5839), target ABETS (1/5839), score 0 -> 106
considered guess ATOMY (233/5839), target ABETS (1/5839), score 0 -> 548
considered guess ATONE (234/5839), target ABETS (1/5839), score 0 -> 235
considered guess ATONY (235/5839), target ABETS (1/5839), score 0 -> 612
considered guess ATOPY (236/5839), target ABETS (1/5839), score 0 -> 551
considered guess ATRIP (237/5839), target ABETS (1/5839), score 0 -> 599
considered guess AUDIO (238/5839), target ABETS (1/5839), score 0 -> 402
considered guess AUDIT (239/5839), target ABETS (1/5839), score 0 -> 705
considered guess AUGER (240/5839), target ABETS (1/5839), score 0 -> 697
considered guess AUGHT (241/5839), target ABETS (1/5839), score 0 -> 517
considered guess AULIC (242/5839), target ABETS (1/5839), score 0 -> 482
considered guess AUNTS (243/5839), target ABETS (1/5839), score 0 -> 51
considered guess AUNTY (244/5839), target ABETS (1/5839), score 0 -> 195
considered guess AUREI (245/5839), target ABETS (1/5839), score 0 -> 1039
considered guess AURES (246/5839), target ABETS (1/5839), score 0 -> 373
considered guess AURIC (247/5839), target ABETS (1/5839), score 0 -> 515
considered guess AURIS (248/5839), target ABETS (1/5839), score 0 -> 310
considered guess AUTOS (249/5839), target ABETS (1/5839), score 0 -> 154
considered guess AUXIN (250/5839), target ABETS (1/5839), score 0 -> 565
considered guess AVENS (251/5839), target ABETS (1/5839), score 0 -> 27
considered guess AVERS (252/5839), target ABETS (1/5839), score 0 -> 24
considered guess AVERT (253/5839), target ABETS (1/5839), score 0 -> 41
considered guess AVION (254/5839), target ABETS (1/5839), score 0 -> 410
considered guess AVISO (255/5839), target ABETS (1/5839), score 0 -> 512
considered guess AVOID (256/5839), target ABETS (1/5839), score 0 -> 486
considered guess AVOWS (257/5839), target ABETS (1/5839), score 0 -> 176
considered guess AWFUL (258/5839), target ABETS (1/5839), score 0 -> 355
considered guess AWING (259/5839), target ABETS (1/5839), score 0 -> 450
considered guess AWNED (260/5839), target ABETS (1/5839), score 0 -> 674
considered guess AWOKE (261/5839), target ABETS (1/5839), score 0 -> 642
considered guess AWOLS (262/5839), target ABETS (1/5839), score 0 -> 150
considered guess AXELS (263/5839), target ABETS (1/5839), score 0 -> 18
considered guess AXILE (264/5839), target ABETS (1/5839), score 0 -> 602
considered guess AXILS (265/5839), target ABETS (1/5839), score 0 -> 195
considered guess AXING (266/5839), target ABETS (1/5839), score 0 -> 479
considered guess AXIOM (267/5839), target ABETS (1/5839), score 0 -> 501
considered guess AXION (268/5839), target ABETS (1/5839), score 0 -> 414
considered guess AXITE (269/5839), target ABETS (1/5839), score 0 -> 72
considered guess AXLED (270/5839), target ABETS (1/5839), score 0 -> 647
considered guess AXLES (271/5839), target ABETS (1/5839), score 0 -> 232
considered guess AXMEN (272/5839), target ABETS (1/5839), score 0 -> 684
considered guess AXONE (273/5839), target ABETS (1/5839), score 0 -> 647
considered guess AXONS (274/5839), target ABETS (1/5839), score 0 -> 204
considered guess AYINS (275/5839), target ABETS (1/5839), score 0 -> 257
considered guess AZIDE (276/5839), target ABETS (1/5839), score 0 -> 607
considered guess AZIDO (277/5839), target ABETS (1/5839), score 0 -> 452
considered guess AZINE (278/5839), target ABETS (1/5839), score 0 -> 624
considered guess AZLON (279/5839), target ABETS (1/5839), score 0 -> 349
considered guess AZOIC (280/5839), target ABETS (1/5839), score 0 -> 410
considered guess AZOLE (281/5839), target ABETS (1/5839), score 0 -> 583
considered guess AZONS (282/5839), target ABETS (1/5839), score 0 -> 198
considered guess AZOTE (283/5839), target ABETS (1/5839), score 0 -> 67
considered guess AZOTH (284/5839), target ABETS (1/5839), score 0 -> 82
considered guess AZUKI (285/5839), target ABETS (1/5839), score 0 -> 449
considered guess AZURE (286/5839), target ABETS (1/5839), score 0 -> 563
considered guess BACKS (287/5839), target ABETS (1/5839), score 0 -> 141
considered guess BACON (288/5839), target ABETS (1/5839), score 0 -> 973
considered guess BADGE (289/5839), target ABETS (1/5839), score 0 -> 151
considered guess BADLY (290/5839), target ABETS (1/5839), score 0 -> 701
considered guess BAGEL (291/5839), target ABETS (1/5839), score 0 -> 202
considered guess BAHTS (292/5839), target ABETS (1/5839), score 0 -> 26
considered guess BAILS (293/5839), target ABETS (1/5839), score 0 -> 298
considered guess BAIRN (294/5839), target ABETS (1/5839), score 0 -> 996
considered guess BAITH (295/5839), target ABETS (1/5839), score 0 -> 151
considered guess BAITS (296/5839), target ABETS (1/5839), score 0 -> 25
considered guess BAIZE (297/5839), target ABETS (1/5839), score 0 -> 96
considered guess BAKED (298/5839), target ABETS (1/5839), score 0 -> 124
considered guess BAKER (299/5839), target ABETS (1/5839), score 0 -> 252
considered guess BAKES (300/5839), target ABETS (1/5839), score 0 -> 15
considered guess BALDS (301/5839), target ABETS (1/5839), score 0 -> 255
considered guess BALDY (302/5839), target ABETS (1/5839), score 0 -> 668
considered guess BALED (303/5839), target ABETS (1/5839), score 0 -> 243
considered guess BALER (304/5839), target ABETS (1/5839), score 0 -> 350
considered guess BALES (305/5839), target ABETS (1/5839), score 0 -> 43
considered guess BALKS (306/5839), target ABETS (1/5839), score 0 -> 199
considered guess BALKY (307/5839), target ABETS (1/5839), score 0 -> 607
considered guess BALMS (308/5839), target ABETS (1/5839), score 0 -> 233
considered guess BALMY (309/5839), target ABETS (1/5839), score 0 -> 608
considered guess BANCO (310/5839), target ABETS (1/5839), score 0 -> 967
considered guess BANDS (311/5839), target ABETS (1/5839), score 0 -> 211
considered guess BANDY (312/5839), target ABETS (1/5839), score 0 -> 618
